Kreuzberg, kberg
Croitsburg, kberg,
Sally Loos, sally
Novo, novo 
Kraken Avila, krakav 
Kraken Pismo, krakpis 
kraken Bonetti, krakbon
Buttercup, buttercup 
Luna, luna 
Luna Red, luna 

